カ行変格,ka_irr,kahen_verb.irregular
サ行変格,sa_irr,sahen_verb.irregular
ザ行変格,za_irr,zahen_verb.irregular
上一段-ア行,V1i.a,kamiichidan_verb_i_row.a_column
上一段-カ行,V1i.ka,kamiichidan_verb_i_row.ka_column
上一段-ガ行,V1i.ga,kamiichidan_verb_i_row.ga_column
上一段-ザ行,V1i.za,kamiichidan_verb_i_row.za_column
上一段-タ行,V1i.ta,kamiichidan_verb_i_row.ta_column
上一段-ナ行,V1i.na,kamiichidan_verb_i_row.na_column
上一段-ハ行,V1i.ha,kamiichidan_verb_i_row.ha_column
上一段-バ行,V1i.ba,kamiichidan_verb_i_row.ba_column
上一段-マ行,V1i.ma,kamiichidan_verb_i_row.ma_column
上一段-ラ行,V1i.ra,kamiichidan_verb_i_row.ra_column
下一段-ア行,V1i.a,kamiichidan_verb_i_row.a_column
下一段-カ行,V1e.ka,shimoichidan_verb_e_row.ka_column
下一段-ガ行,V1e.ga,shimoichidan_verb_e_row.ga_column
下一段-サ行,V1e.sa,shimoichidan_verb_e_row.sa_column
下一段-ザ行,V1e.za,shimoichidan_verb_e_row.za_column
下一段-タ行,V1e.ta,shimoichidan_verb_e_row.ta_column
下一段-ダ行,V1e.da,shimoichidan_verb_e_row.da_column
下一段-ナ行,V1e.na,shimoichidan_verb_e_row.na_column
下一段-ハ行,V1e.ha,shimoichidan_verb_e_row.ha_column
下一段-バ行,V1e.ba,shimoichidan_verb_e_row.ba_column
下一段-マ行,V1e.ma,shimoichidan_verb_e_row.ma_column
下一段-ラ行,V1e.ra,shimoichidan_verb_e_row.ra_column
下一段-ラ行-一般,V1e.ra.g,shimoichidan_verb_e_row.ra_column.general
下一段-ラ行-呉レル,V1e.ra.kureru,shimoichidan_verb_e_row.ra_column.kureru
五段-カ行,V5.ka,godan_verb_ka_column
五段-ガ行,V5.ga,godan_verb_ga_column
五段-カ行-イク,V5.ka.iku,godan_verb_ka_column.iku
五段-カ行-ユク,V5.ka.yuku,godan_verb_ka_column.yuku
五段-カ行-一般,V5.ka.g,godan_verb_ka_column.general
五段-サ行,V5.sa,godan_verb_sa_column
五段-タ行,V5.ta,godan_verb_ta_column
五段-ナ行,V5.na,godan_verb_na_column
五段-バ行,V5.ba,godan_verb_ba_column
五段-マ行,V5.ma,godan_verb_ma_column
五段-ラ行,V5.ra,godan_verb_ra_column
五段-ラ行-アル,V5.ra.aru,godan_verb_ra_column.aru
五段-ラ行-一般,V5.ra.g,godan_verb_ra_column.general
五段-ワア行,V5.wa_a,godan_verb_wa_a_column
五段-ワア行-イウ,V5.wa_a.iu,godan_verb_wa_a_column.iu
五段-ワア行-一般,V5.wa_a.g,godan_verb_wa_a_column.general
