ID,sentence,verb1,verbType1,verb2,verbType2,verb3,verbType3,verb4,verbType4
1,誰が一番に着くか私には分かりません。,着く,dict,分かりません,negative-polite,,,,
2,多くの動物が人間によって滅ぼされた。,よって,participle,滅ぼされた,passive-past,,,,
4,エミは幸せそうに見えます。,見えます,polite,,,,,,
5,この事実を心に留めておいて下さい。,留めて,participle,おいて,participle,,,,
6,彼女は私たちの世話をしてくれる。,して,participle,くれる,dict,,,,
7,私達は国際人になりたいと思います。,なりたい,wish,思います,polite,,,,
9,道路を横切るときは車に注意しなさい。,横切る,dict,,,,,,
11,父は私が外国へ行くことを承知した。,行く,dict,した,past,,,,
13,彼の小説は１つも読んでいない。,読んで,participle,いない,negative,,,,
14,彼はどこへ行ったらいいか分からなかった。,分からなかった,negative-past,,,,,,
15,彼女は、母親に少し似ている。,似て,participle,いる,dict,,,,
18,彼もそれを見た。,見た,past,,,,,,
21,その仕事を引き受けようかと思っている。,思って,participle,いる,dict,,,,
22,サッカーは日本で以前よりも今人気がある。,ある,dict,,,,,,
24,２時間も待たされた。,待たされた,passive-past,,,,,,
27,どうぞ午後に私の家へ来てください。,来て,participle,,,,,,
28,車でどれくらいかかりますか。,かかります,polite,,,,,,
29,私は彼女が子供のころから知っています。,知って,participle,います,polite,,,,
30,申告する物は何もありません。,する,dict,,,,,,
31,もう夕食は済みましたか。,済みました,past-polite,,,,,,
32,あなたの国では雪がたくさん降りますか。,降ります,polite,,,,,,
33,彼はいつも父親の陰口を言います。,言います,polite,,,,,,
34,それについてどう思った。,ついて,participle,思った,past,,,,
35,的を外してしまった。,外して,participle,しまった,past,,,,
38,彼は危険をものともしない。,しない,negative,,,,,,
40,彼女はもう少しで遅刻するところだった。,する,dict,,,,,,
42,今のをもう一度言っていただける。,言って,participle,いただける,dict,,,,
43,行きたい学校に入れてよかったね。,行きたい,wish,入れて,participle,,,,
44,電話を切らずにそのまま待ってください。,待って,participle,,,,,,
45,彼女は時々酒を飲む。,飲む,dict,,,,,,
46,彼らはまともに私の顔を見られなかった。,見られなかった,passive-negative-past,,,,,,
47,彼の話は奇妙に聞こえる。,聞こえる,dict,,,,,,
